[00:09:28.600 --> 00:09:31.100]  今天的話大概我們是從兩個維度
[00:25:08.600 --> 00:25:10.000]  正當向上的開啟
[00:25:10.000 --> 00:25:12.200]  不會像我們之前那麼的瘋狂
[00:25:12.200 --> 00:25:14.600]  甚至我們後面的行情更多的可能就是
[00:25:14.600 --> 00:25:16.600]  幾個把他的輪動
[00:25:16.600 --> 00:25:18.400]  就是輪動接力
[00:25:18.400 --> 00:25:20.500]  應該叫這四個組就是後面
[00:25:20.600 --> 00:25:22.900]  如果指數進入上升行情
[00:25:22.900 --> 00:25:25.700]  所帶動的應該是板塊的輪動接力
[00:25:25.700 --> 00:25:28.700]  來完成我們後面的這種上升局勢
[00:25:28.700 --> 00:25:31.800]  所以從實際化來講呢
[00:25:31.800 --> 00:25:34.200]  操作難度會比以往大
[00:25:34.200 --> 00:25:36.200]  就是沒有那麼多
[00:25:36.200 --> 00:25:37.500]  就是怎麼講呢
[00:25:37.500 --> 00:25:38.600]  就是我們之前
[00:25:38.600 --> 00:25:40.400]  我記得好幾年前聽過一句話的
[00:25:40.400 --> 00:25:43.800]  就是未來的股市應該是好的會不斷的
[00:25:43.800 --> 00:25:45.000]  上漲
[00:25:45.000 --> 00:25:46.400]  不好的就是
[00:25:46.400 --> 00:25:48.000]  就是 st
[00:25:48.000 --> 00:25:50.200]  然後就是一兩塊錢
[00:25:50.200 --> 00:25:51.800]  我就應該五年前
[00:25:51.800 --> 00:25:54.500]  或者是七年前我就聽過一句這句話
[00:25:54.500 --> 00:25:56.200]  就聽過這句話
[00:25:56.200 --> 00:25:57.800]  從那句話到現在
[00:25:57.800 --> 00:26:00.700]  目前這個排雷啊各個方面來看
[00:26:00.700 --> 00:26:03.700]  可能接下來未來的就是這裡的磨
[00:26:03.700 --> 00:26:05.700]  磨完之後的趨勢向上
[00:26:05.700 --> 00:26:07.100]  可能就是這種這種
[00:26:07.100 --> 00:26:09.200]  這種的一個機會的預期
[00:26:09.200 --> 00:26:10.300]  好的就會好
[00:26:10.300 --> 00:26:11.500]  不好的就是不好
[00:26:11.500 --> 00:26:13.100]  所以大家對於說
[00:26:13.100 --> 00:26:16.300]  公司置地的研究還是一定要花心思
[00:26:16.300 --> 00:26:17.700]  就不能純技術
[00:26:17.700 --> 00:26:20.100]  我覺得不能完全是純技術
[00:26:20.500 --> 00:26:22.400]  你最起碼這家公司不能虧損
[00:26:22.400 --> 00:26:23.900]  這是很重要的一個原因
[00:26:23.900 --> 00:26:25.500]  就是他不能有
[00:26:25.500 --> 00:26:28.000]  有什麼有退市的可能
[00:26:28.000 --> 00:26:30.600]  這點大家就是可能跟以往
[00:26:30.600 --> 00:26:32.400]  以往可能虧錢的公司對吧
[00:26:32.400 --> 00:26:33.600]  有油資做
[00:26:33.600 --> 00:26:35.400]  照樣的能漲得很好
[00:26:35.400 --> 00:26:37.400]  但是這種出貨的機率很低
[00:26:37.400 --> 00:26:38.400]  大家也可以看到
[00:26:38.400 --> 00:26:42.000]  現在這種油資的做盤的手法都是一字板
[00:26:42.000 --> 00:26:43.400]  然後直接灌壓式的
[00:26:43.400 --> 00:26:45.500]  沒有沒有出貨的機會
[00:26:45.500 --> 00:26:47.600]  所以對於我們大部分的投資者來講
[00:26:47.600 --> 00:26:48.900]  是不太友好的
[00:26:49.000 --> 00:26:50.800]  所以我對大家的一個什麼
[00:26:50.800 --> 00:26:53.500]  一個就是我的或者是我的看法
[00:26:53.500 --> 00:26:56.600]  24年25年就是我剛才說的那個
[00:26:56.600 --> 00:26:58.100]  四個那個八個字
[00:26:58.100 --> 00:26:59.900]  稽少成多
[00:26:59.900 --> 00:27:01.700]  富力稽少成多
[00:27:01.700 --> 00:27:02.500]  對吧
[00:27:02.500 --> 00:27:03.400]  然後呢什麼
[00:27:03.400 --> 00:27:04.500]  文件增長
[00:27:04.500 --> 00:27:06.500]  我覺得2425年是這麼一個預期
[00:27:06.500 --> 00:27:09.200]  通過這個位置的走勢之後
[00:27:09.200 --> 00:27:10.900]  看怎麼樣之前一個轉勢
[00:27:10.900 --> 00:27:13.800]  看到哪個方向能夠走出趨勢性的一個機會
[00:27:13.800 --> 00:27:15.300]  再轉變為
[00:27:15.300 --> 00:27:17.100]  一年不開張
[00:27:17.800 --> 00:27:20.000]  三年不開張開張去三年的思維
[00:27:20.000 --> 00:27:21.800]  這三年不開張三
[00:27:21.800 --> 00:27:24.800]  開張去三年思維一定是建立在某
[00:27:24.800 --> 00:27:27.100]  指數沒關係大盤也沒關係
[00:27:27.100 --> 00:27:30.000]  一定是建立在某一個板塊指數
[00:27:30.000 --> 00:27:31.300]  要走三呢
[00:27:31.300 --> 00:27:32.200]  為前提
[00:27:32.200 --> 00:27:33.600]  就是或者我們所說的
[00:27:33.600 --> 00:27:36.200]  做趨勢做波段的前提條件是什麼
[00:27:36.200 --> 00:27:36.900]  就在這兒
[00:27:36.900 --> 00:27:39.500]  就大勢環境跟大家先聊一聊
[00:27:39.500 --> 00:27:39.800]  好
[00:27:39.800 --> 00:27:41.800]  所以我希望大家就是在這個過程中
[00:27:41.800 --> 00:27:43.000]  你要明白節奏感
[00:27:43.000 --> 00:27:44.500]  那背套的怎麼樣呢
[00:27:44.500 --> 00:27:46.100]  比如說我們在做有背套的
[00:27:46.100 --> 00:27:47.900]  只要你工資不差你就扛
[00:27:47.900 --> 00:27:49.500]  我是這個觀點
[00:27:49.500 --> 00:27:51.200]  就是現在這個位置啊
[00:27:51.200 --> 00:27:52.800]  因為之前
[00:27:52.800 --> 00:27:54.900]  之前在這裡的時候呢
[00:27:54.900 --> 00:27:56.500]  我包括去年和前年
[00:27:56.500 --> 00:27:58.300]  我為什麼我做的不怎麼好
[00:27:58.300 --> 00:28:00.000]  就是賺錢不怎麼多就是
[00:28:00.000 --> 00:28:03.100]  在我的腦海裡面我對熊市的
[00:28:03.100 --> 00:28:04.700]  就是非常敬畏
[00:28:04.700 --> 00:28:06.800]  我是超級敬畏的
[00:28:06.800 --> 00:28:08.600]  因為這是這種敬畏的心理
[00:28:08.600 --> 00:28:10.900]  所以每次熊市的調整我不虧錢
[00:28:10.900 --> 00:28:13.600]  啊像去之前就賺小錢
[00:28:13.600 --> 00:28:15.500]  這是帶給我的幫助
[00:28:15.600 --> 00:28:17.400]  所以反過來他會約束我
[00:28:17.400 --> 00:28:19.000]  就是熊市裡面有機會
[00:28:19.000 --> 00:28:20.400]  我也會變得比較什麼
[00:28:20.400 --> 00:28:21.500]  膽怯
[00:28:21.500 --> 00:28:23.500]  因為人性他肯定不可能說是
[00:28:23.500 --> 00:28:25.900]  就是完全是兩全的帶給認同吧
[00:28:25.900 --> 00:28:27.400]  就像如果你背套的
[00:28:27.400 --> 00:28:29.500]  就是因為你對熊市不夠
[00:28:29.500 --> 00:28:30.500]  敬畏
[00:28:30.500 --> 00:28:33.200]  所以你會產生了在這個過程中的
[00:28:33.200 --> 00:28:35.600]  比如說啊三五十和五六十的背套
[00:28:35.600 --> 00:28:37.500]  對吧就是在說白了在這樣一個
[00:28:37.500 --> 00:28:39.800]  這樣一個週期裡面你參與在其中呢
[00:28:39.800 --> 00:28:42.200]  就是我我們說實話就是
[00:28:42.200 --> 00:28:43.900]  每個人他的一個認知不同
[00:28:43.900 --> 00:28:45.100]  所以結果就不同
[00:28:45.400 --> 00:28:46.600]  但是到這個位置
[00:28:46.600 --> 00:28:48.200]  如果是像去年
[00:28:48.200 --> 00:28:50.200]  因為去年在這個我們圈子裡面都提醒過
[00:28:50.200 --> 00:28:51.000]  認為是個弊納
[00:28:51.000 --> 00:28:51.900]  但是很清楚
[00:28:51.900 --> 00:28:54.100]  都說啊這段起來會不會走三啊
[00:28:54.100 --> 00:28:55.800]  我當時正好在做月組說這是
[00:28:55.800 --> 00:28:57.500]  我就看了看了看完之後
[00:28:57.500 --> 00:28:59.200]  這是一個弊納不可能起來的
[00:28:59.200 --> 00:29:01.100]  按照結構這裡下跌反彈股
[00:29:01.100 --> 00:29:02.400]  是那麼還有一個中期的
[00:29:02.400 --> 00:29:05.900]  我們圈子裡面大多在圈子裡面都還比較清楚的
[00:29:05.900 --> 00:29:07.500]  但是現在這個位置
[00:29:07.500 --> 00:29:09.600]  對啊包括後面如果有回調
[00:29:09.600 --> 00:29:11.800]  你自己的股票只要保持趨勢多頭
[00:29:11.800 --> 00:29:12.900]  你也不用操心
[00:29:12.900 --> 00:29:13.900]  你就拿著
[00:29:13.900 --> 00:29:15.600]  反正都是從這裡扛到這裡的
[00:29:15.600 --> 00:29:17.000]  這種扛不扛過的
[00:29:17.000 --> 00:29:18.200]  這裡的回調扛
[00:29:18.200 --> 00:29:20.000]  對吧你就更不要
[00:29:20.000 --> 00:29:22.000]  更不要太受影響的
[00:29:22.000 --> 00:29:23.200]  就是這個位置
[00:29:23.200 --> 00:29:25.100]  如果對於從去年
[00:29:25.100 --> 00:29:27.800]  比如說五六月份或六七月份套下來的
[00:29:27.800 --> 00:29:29.000]  只要你個股還ok
[00:29:29.000 --> 00:29:29.900]  我覺得就是扛
[00:29:29.900 --> 00:29:30.800]  為什麼呢
[00:29:30.800 --> 00:29:32.400]  今年的格局
[00:29:32.400 --> 00:29:34.500]  今年的盤局就是輪動
[00:29:34.500 --> 00:29:37.400]  就你的股票說不定就會輪動到
[00:29:37.400 --> 00:29:40.200]  上漲的讓你什麼少虧損的
[00:29:40.200 --> 00:29:41.300]  大家明白我的意思沒有
[00:29:41.300 --> 00:29:42.800]  就是這個方向我先聊一聊
[00:29:42.800 --> 00:29:44.400]  就是今年的盤局就是輪動
[00:29:44.400 --> 00:29:46.500]  持續性都沒有
[00:29:46.500 --> 00:29:47.700]  不會說很強
[00:29:47.700 --> 00:29:51.500]  對於大市環境線和大家聊聊
[00:29:51.500 --> 00:29:52.900]  剩下的小的我們就
[00:29:52.900 --> 00:29:54.700]  我們就什麼我們就來這個
[00:29:54.700 --> 00:29:56.500]  用知識點來慢慢卡
[00:29:56.500 --> 00:29:57.900]  用知識點來慢慢卡
[00:29:57.900 --> 00:30:00.800]  回到我們剛才所講的
[00:30:00.800 --> 00:30:02.800]  我們的交易的一個目標啊
[00:30:02.800 --> 00:30:04.800]  我們交易他白幫助
[00:30:04.800 --> 00:30:07.000]  你交易的目標我開
[00:30:07.000 --> 00:30:08.300]  地下的
[00:30:08.300 --> 00:30:12.100]  不管首先我先講不管你是短線
[00:30:12.500 --> 00:30:14.900]  我們是幾小程多是叫小短線對不對
[00:30:14.900 --> 00:30:16.500]  不管你是短線
[00:30:16.500 --> 00:30:19.200]  還是波段
[00:30:19.200 --> 00:30:21.900]  還是我是做趨勢的
[00:30:21.900 --> 00:30:27.600]  還是我做趨勢的啊
[00:30:27.600 --> 00:30:29.000]  這是我們的交易的什麼
[00:30:29.000 --> 00:30:31.600]  這是我們交易的
[00:30:31.600 --> 00:30:33.000]  方向嗎
[00:30:33.000 --> 00:30:34.600]  那你自己考慮你
[00:30:34.600 --> 00:30:35.800]  現在比如現在這麼晚
[00:30:35.800 --> 00:30:37.600]  就說實話我只見到一個短線
[00:30:37.600 --> 00:30:39.000]  我也沒辦法見到一個波段
[00:30:39.000 --> 00:30:40.300]  波段也就是什麼
[00:30:40.500 --> 00:30:42.800]  也就是15分鐘幾多或30分鐘小波段
[00:30:42.800 --> 00:30:43.300]  對不對
[00:30:43.300 --> 00:30:46.000]  那我們我指的波段就是30分鐘幾年
[00:30:46.000 --> 00:30:47.000]  和中期
[00:30:47.000 --> 00:30:49.100]  那趨勢就是中長期了
[00:30:49.100 --> 00:30:51.400]  中長期或者是長期了
[00:30:51.400 --> 00:30:55.200]  那這個就是15或者是30分鐘幾年
[00:30:55.200 --> 00:30:57.100]  這是我們所講的交易機會
[00:30:57.100 --> 00:30:58.800]  我在這裡先強調一點
[00:30:58.800 --> 00:31:02.700]  你我們做的是個股還是指數還是榜賣
[00:31:02.700 --> 00:31:04.300]  是不是個股
[00:31:04.300 --> 00:31:05.900]  做的是不是個股
[00:31:05.900 --> 00:31:09.700]  個股必須是
[00:31:09.700 --> 00:31:11.200]  必須是單邊主生
[00:31:11.200 --> 00:31:13.200]  那大家應該聽明白了
[00:31:13.200 --> 00:31:16.400]  我榜賣做指數不是單邊主生
[00:31:16.400 --> 00:31:18.400]  不是不是做主生那沒關係
[00:31:18.400 --> 00:31:20.200]  但是你這個榜賣裡面
[00:31:20.200 --> 00:31:21.400]  你能夠給我找到一個
[00:31:21.400 --> 00:31:22.400]  個股的單邊主生
[00:31:22.400 --> 00:31:23.200]  可不可以做
[00:31:23.200 --> 00:31:24.200]  可以
[00:31:24.200 --> 00:31:25.200]  倉位證據
[00:31:25.200 --> 00:31:26.700]  大家明白我意思沒有
[00:31:26.700 --> 00:31:28.700]  就是我們的交易機會
[00:31:28.700 --> 00:31:30.000]  因為我們只能做個股
[00:31:30.000 --> 00:31:33.200]  所以你要明白你做的個股的要求
[00:31:33.200 --> 00:31:34.500]  只能做什麼
[00:31:34.500 --> 00:31:36.700]  只能做一個個股的要求
[00:31:36.700 --> 00:31:37.700]  你做的個股的要求
[00:31:37.700 --> 00:31:39.700]  只能做什麼
[00:31:39.700 --> 00:31:40.700]  單邊主生
[00:31:40.700 --> 00:31:43.200]  只能做單邊主生
[00:31:43.200 --> 00:31:46.700]  然後對於我們所講的波段和趨勢
[00:31:46.700 --> 00:31:50.200]  波段和趨勢就得加兩個字叫共振
[00:31:50.200 --> 00:31:52.200]  但是短線共振不了
[00:31:52.200 --> 00:31:54.200]  短線不可能共振的
[00:31:54.200 --> 00:31:55.700]  我現在就跟大家
[00:31:55.700 --> 00:31:57.700]  有些點要調整一下
[00:31:57.700 --> 00:32:00.200]  你不要做個短線也看看月線
[00:32:00.200 --> 00:32:02.200]  是不是趨勢多頭
[00:32:02.200 --> 00:32:04.200]  中線是不是趨勢多頭
[00:32:04.200 --> 00:32:06.200]  然後完了之後就錯過了不敢下達
[00:32:07.200 --> 00:32:08.700]  會不會有這樣的情況
[00:32:08.700 --> 00:32:10.200]  會有對不對
[00:32:10.200 --> 00:32:11.200]  然後完了之後
[00:32:11.200 --> 00:32:13.700]  現在不是屬於做大波段的時候呢
[00:32:13.700 --> 00:32:15.200]  對吧
[00:32:15.200 --> 00:32:17.200]  就是你也想著做波段就比較多
[00:32:17.200 --> 00:32:19.200]  所以我們做一些細節上的一些調整
[00:32:19.200 --> 00:32:22.700]  短線就是做單邊主生
[00:32:22.700 --> 00:32:23.700]  單邊主生是什麼
[00:32:23.700 --> 00:32:25.200]  是單中心譬如說日線
[00:32:25.200 --> 00:32:27.200]  短線就是日線單邊主生
[00:32:27.200 --> 00:32:28.200]  今天我們跟大家聊
[00:32:28.200 --> 00:32:29.700]  今天還聊不到
[00:32:29.700 --> 00:32:31.200]  應該是到明天
[00:32:31.200 --> 00:32:32.700]  明天和後天會跟大家聊
[00:32:32.700 --> 00:32:35.200]  我都在圖里面有幾個日非線股
[00:32:35.200 --> 00:32:37.200]  裡面去做日線我們說講一下
[00:32:37.200 --> 00:32:40.700]  日線的單邊主生周線不怎麼好
[00:32:40.700 --> 00:32:43.700]  月線也不怎麼好的
[00:32:43.700 --> 00:32:46.200]  但是日線的單邊主生頭上能走出20個底
[00:32:46.200 --> 00:32:47.700]  對吧這就是什麼
[00:32:47.700 --> 00:32:49.200]  你說的小波段嗎
[00:32:49.200 --> 00:32:50.700]  小短線嘛對不對
[00:32:50.700 --> 00:32:52.200]  所以你明確一點
[00:32:52.200 --> 00:32:54.200]  更不只做單邊上的
[00:32:54.200 --> 00:32:55.700]  特為單邊上的
[00:32:55.700 --> 00:32:57.200]  就是一步步深入的
[00:32:57.200 --> 00:32:59.200]  更不只做單邊上的
[00:32:59.200 --> 00:33:01.200]  那麼包括你自己持有的股票
[00:33:01.200 --> 00:33:03.200]  你去看它符不符合這些
[00:33:03.200 --> 00:33:04.700]  如果不符合這些
[00:33:04.700 --> 00:33:06.700]  就是能夠走到符合的
[00:33:06.700 --> 00:33:09.200]  我們叫什麼
[00:33:09.200 --> 00:33:11.200]  我們叫能夠知道它
[00:33:11.200 --> 00:33:12.200]  能夠看得懂
[00:33:12.200 --> 00:33:14.200]  如果不符合的
[00:33:14.200 --> 00:33:17.200]  我只能叫盲區
[00:33:17.200 --> 00:33:19.700]  就是盲區
[00:33:19.700 --> 00:33:20.700]  盲區叫什麼
[00:33:20.700 --> 00:33:23.200]  盲區就是不知道這個股票會干什麼
[00:33:23.200 --> 00:33:24.700]  不知道這個主題會干什麼
[00:33:24.700 --> 00:33:26.200]  大家認同吧
[00:33:26.200 --> 00:33:27.700]  但是我們真正來講呢
[00:33:27.700 --> 00:33:30.200]  就是說實話很多人
[00:33:30.200 --> 00:33:31.700]  在直行力很重要
[00:33:31.700 --> 00:33:32.700]  我
[00:33:33.200 --> 00:33:35.200]  我越來越發現人的直行力很重要
[00:33:35.200 --> 00:33:37.200]  就是你在這個知識裡面
[00:33:37.200 --> 00:33:38.700]  你是有判斷標準的
[00:33:38.700 --> 00:33:40.200]  有很清晰的判斷的
[00:33:40.200 --> 00:33:42.700]  但是你不去執行
[00:33:42.700 --> 00:33:45.700]  你一生生的扛到這個盲區
[00:33:45.700 --> 00:33:47.700]  你也不知道怎麼辦
[00:33:47.700 --> 00:33:48.700]  那我也不知道怎麼辦
[00:33:48.700 --> 00:33:50.700]  就這種盤局之中
[00:33:50.700 --> 00:33:52.700]  所以這個執行力兩個字
[00:33:52.700 --> 00:33:54.200]  就需要自己去修練的
[00:33:54.200 --> 00:33:55.700]  所以我們先回到
[00:33:55.700 --> 00:33:58.200]  交易的一個
[00:33:58.200 --> 00:33:59.200]  更多
[00:33:59.200 --> 00:34:01.200]  必須符合單邊組織
[00:34:01.200 --> 00:34:02.700]  然後我們所講的
[00:34:02.700 --> 00:34:04.700]  短線沒有公正兩字
[00:34:04.700 --> 00:34:05.700]  短線不用公正
[00:34:05.700 --> 00:34:07.200]  短線我無可奈何的
[00:34:07.200 --> 00:34:09.200]  量價是核心
[00:34:09.200 --> 00:34:11.700]  形態也不要
[00:34:11.700 --> 00:34:13.700]  沒有那麼漂亮的形態
[00:34:13.700 --> 00:34:15.200]  因為我們現在講的
[00:34:15.200 --> 00:34:18.200]  現在是空轉多的渾沌期
[00:34:18.200 --> 00:34:20.200]  有準備而為之的
[00:34:20.200 --> 00:34:22.200]  還沒有做好對不對
[00:34:22.200 --> 00:34:24.200]  如果空轉多
[00:34:24.200 --> 00:34:25.700]  渾沌期過了
[00:34:25.700 --> 00:34:27.200]  我們能夠換成接下來
[00:34:27.200 --> 00:34:28.700]  有趨勢性的一個機會的時候
[00:34:28.700 --> 00:34:29.700]  就變成什麼
[00:34:29.700 --> 00:34:31.700]  有準備的模型結構
[00:34:31.700 --> 00:34:32.700]  大家都能看到
[00:34:32.700 --> 00:34:34.700]  就是我們之前所學的
[00:34:34.700 --> 00:34:36.200]  波段結構水準模型結構
[00:34:36.200 --> 00:34:37.700]  它的要素是什麼
[00:34:37.700 --> 00:34:39.700]  它的要素是共振波段組織
[00:34:39.700 --> 00:34:41.700]  和共振趨勢上的
[00:34:41.700 --> 00:34:42.700]  大家認同嗎
[00:34:42.700 --> 00:34:43.700]  記得吧
[00:34:43.700 --> 00:34:44.700]  波段結構水準
[00:34:44.700 --> 00:34:45.700]  沒有交互帶的短線
[00:34:45.700 --> 00:34:47.700]  而是等於說中期趨勢
[00:34:47.700 --> 00:34:49.200]  中長期趨勢
[00:34:49.200 --> 00:34:52.700]  那麼它們這些目前是讓它們不具備
[00:34:52.700 --> 00:34:55.200]  當我們所看到的具備波段的時候
[00:34:55.200 --> 00:34:56.200]  那OK
[00:34:56.200 --> 00:34:58.200]  我們就要看共振單邊組織
[00:34:58.200 --> 00:35:01.200]  就符合結構和模型的去應對的
[00:35:01.200 --> 00:35:02.700]  目前沒有的情況下
[00:35:02.700 --> 00:35:03.700]  就是短線
[00:35:03.700 --> 00:35:05.700]  所以大家就很清楚的理解
[00:35:05.700 --> 00:35:07.700]  我們這一次的量價博弈
[00:35:07.700 --> 00:35:09.200]  就從兩個角度入手
[00:35:09.200 --> 00:35:10.200]  一個是什麼
[00:35:10.200 --> 00:35:11.700]  短打
[00:35:11.700 --> 00:35:12.700]  短打負力
[00:35:12.700 --> 00:35:14.200]  一個是什麼
[00:35:14.200 --> 00:35:16.200]  波段共振
[00:35:16.200 --> 00:35:17.700]  這兩個我們都入手
[00:35:17.700 --> 00:35:20.700]  我們先會開始展開的是波段負力
[00:35:20.700 --> 00:35:22.700]  然後再開始展開什麼
[00:35:22.700 --> 00:35:24.700]  短打負力
[00:35:24.700 --> 00:35:26.700]  波段的一個什麼趨勢
[00:35:26.700 --> 00:35:28.200]  然後再到短打負力
[00:35:28.200 --> 00:35:29.700]  一個是先看大
[00:35:30.700 --> 00:35:32.700]  就像我們對於機會的把握也是一樣的
[00:35:32.700 --> 00:35:35.200]  大的和次大的
[00:35:35.200 --> 00:35:37.200]  然後再到小
[00:35:37.200 --> 00:35:39.700]  我們對於市場環境是怎樣子呢
[00:35:39.700 --> 00:35:41.700]  大的看有沒有
[00:35:41.700 --> 00:35:43.700]  沒有降微到次大
[00:35:43.700 --> 00:35:45.200]  次大有沒有
[00:35:45.200 --> 00:35:46.700]  沒有降微到小
[00:35:46.700 --> 00:35:48.700]  大家明白我的意思沒有
[00:35:48.700 --> 00:35:51.200]  就是有點像我會把
[00:35:51.200 --> 00:35:52.700]  大的跟大家分享
[00:35:52.700 --> 00:35:54.700]  次大的就是波段跟大家分享
[00:35:54.700 --> 00:35:56.700]  然後短的短打的跟大家分享
[00:35:56.700 --> 00:35:57.700]  就是三種機會
[00:35:58.200 --> 00:36:00.700]  比如說講的趨勢波段和短線嘛
[00:36:00.700 --> 00:36:01.700]  都會有大家分享
[00:36:01.700 --> 00:36:02.700]  那你就這個什麼
[00:36:02.700 --> 00:36:04.700]  這根據市場環境來的
[00:36:04.700 --> 00:36:07.700]  是不是根據市場環境來的
[00:36:07.700 --> 00:36:10.200]  市場環境我們在復盤的時候
[00:36:10.200 --> 00:36:12.200]  先站在這個思維去看
[00:36:12.200 --> 00:36:13.200]  這個沒有pass掉
[00:36:13.200 --> 00:36:14.700]  我就不要想著我要找一個
[00:36:14.700 --> 00:36:16.700]  50%一倍的股票我要回本
[00:36:16.700 --> 00:36:18.700]  然後就是我今年我要賺多少錢
[00:36:18.700 --> 00:36:20.700]  新的預期就不能有
[00:36:20.700 --> 00:36:22.700]  就因為不具備時勢不具備
[00:36:22.700 --> 00:36:23.700]  環境不具備
[00:36:23.700 --> 00:36:24.700]  然後我們再來看次大的
[00:36:24.700 --> 00:36:26.200]  相對近次大的就對了
[00:36:26.200 --> 00:36:27.200]  最近差不多
[00:36:27.200 --> 00:36:29.200]  其實從4月
[00:36:29.200 --> 00:36:30.700]  4月28日是一個節點
[00:36:30.700 --> 00:36:32.200]  短線小短線的節點
[00:36:32.200 --> 00:36:33.700]  然後漲了差不多
[00:36:33.700 --> 00:36:36.200]  有些個股是被漲了幾天的時間
[00:36:36.200 --> 00:36:38.200]  然後從這個5月
[00:36:38.200 --> 00:36:40.200]  5月之後的那兩天
[00:36:40.200 --> 00:36:41.200]  到現在
[00:36:41.200 --> 00:36:43.200]  基本上次大的沒有是小小
[00:36:43.200 --> 00:36:45.200]  還不是小小的機會
[00:36:45.200 --> 00:36:47.700]  因為基本上只是時間中在一天
[00:36:47.700 --> 00:36:49.200]  第二天就decast
[00:36:49.200 --> 00:36:50.700]  大部分
[00:36:50.700 --> 00:36:52.200]  最多第二天以後還會衝高
[00:36:52.200 --> 00:36:53.200]  是不是這樣子
[00:36:53.200 --> 00:36:54.700]  所以我們是根據市場的
[00:36:54.700 --> 00:36:56.200]  環境機會來給予的
[00:36:56.200 --> 00:36:59.200]  就是先看大到降五再降五
[00:36:59.200 --> 00:37:01.200]  那麼最小就降不到這一個
[00:37:01.200 --> 00:37:03.700]  最小降不到這一個
[00:37:03.700 --> 00:37:05.700]  往後就不是我們的機會了
[00:37:05.700 --> 00:37:07.200]  再往下就不是我們的機會了
[00:37:07.200 --> 00:37:09.200]  所以我們真正的負力是在這
[00:37:09.200 --> 00:37:12.700]  所以我今天會跟大家分享
[00:37:12.700 --> 00:37:13.700]  這個我做的
[00:37:13.700 --> 00:37:15.200]  短線機會這個負力
[00:37:15.200 --> 00:37:16.200]  這叫負力
[00:37:16.200 --> 00:37:18.700]  那麼我們說的波段和趨勢
[00:37:18.700 --> 00:37:20.200]  就需要市場環境來配合
[00:37:20.200 --> 00:37:22.200]  就是我們說交易的一個目標
[00:37:22.200 --> 00:37:24.200]  開啟到非常清晰
[00:37:24.200 --> 00:37:26.200]  那個希瑞你幫我找一個插的
[00:37:26.200 --> 00:37:32.700]  如果這個單邊主聲裡面
[00:37:32.700 --> 00:37:33.700]  我們再回到
[00:37:33.700 --> 00:37:35.200]  我們說這做個股
[00:37:35.200 --> 00:37:37.200]  是不是要有板塊的一個配合
[00:37:37.200 --> 00:37:39.700]  對吧
[00:37:39.700 --> 00:37:41.200]  是要有板塊的配合
[00:37:41.200 --> 00:37:42.700]  然後後來習慣是什麼
[00:37:42.700 --> 00:37:44.200]  指數的一個
[00:37:44.200 --> 00:37:46.200]  指數的一個配合
[00:37:46.200 --> 00:37:48.200]  那這裡我又再次強調
[00:37:48.200 --> 00:37:51.200]  關於短線波段和趨勢的一個關係
[00:37:52.700 --> 00:37:54.700]  指數和板塊都好
[00:37:54.700 --> 00:37:57.700]  你就只考慮波段和趨勢的思維
[00:37:57.700 --> 00:38:00.200]  記住了
[00:38:00.200 --> 00:38:02.200]  指數和板塊都好
[00:38:02.200 --> 00:38:03.200]  就像去年
[00:38:03.200 --> 00:38:07.200]  去年十月份的時候
[00:38:07.200 --> 00:38:09.700]  新能源汽車那個汽車你不見為常
[00:38:09.700 --> 00:38:12.200]  我這個不是水壺
[00:38:12.200 --> 00:38:19.700]  中間不走這樣
[00:38:21.700 --> 00:38:23.200]  你寫不好
[00:38:23.200 --> 00:38:26.200]  你心裡不插得出來
[00:38:26.200 --> 00:38:27.700]  這是比不上
[00:38:27.700 --> 00:38:30.200]  你別插了別插了
[00:38:30.200 --> 00:38:31.700]  你就用在這裡往後走
[00:38:31.700 --> 00:38:34.700]  然後我們再回到剛才就是說交易
[00:38:34.700 --> 00:38:35.700]  機會就是這三種
[00:38:35.700 --> 00:38:37.200]  大家永遠記住
[00:38:37.200 --> 00:38:38.200]  就是你首先明確
[00:38:38.200 --> 00:38:39.200]  我看的這個目標
[00:38:39.200 --> 00:38:40.200]  到底是符合這個機位
[00:38:40.200 --> 00:38:41.700]  這個機位這個機會
[00:38:41.700 --> 00:38:44.200]  你不要啥機會都盯著波段
[00:38:44.200 --> 00:38:45.700]  因為我們以前是學波段解不懂水
[00:38:45.700 --> 00:38:46.700]  對吧
[00:38:46.700 --> 00:38:48.700]  所以我只教了波段
[00:38:48.700 --> 00:38:50.700]  那麼現在我們就是領悟
[00:38:50.700 --> 00:38:53.700]  不能所有的股票都往這裡去泡
[00:38:53.700 --> 00:38:55.700]  大家能理解我意思沒有
[00:38:55.700 --> 00:38:56.700]  現在時事環境
[00:38:56.700 --> 00:38:58.700]  板塊有結構的
[00:38:58.700 --> 00:39:00.700]  就是我們說所有波段
[00:39:00.700 --> 00:39:02.700]  板塊都能夠具備Sinov是不是
[00:39:02.700 --> 00:39:04.700]  你們基本上跟著我一起做
[00:39:04.700 --> 00:39:06.700]  做這個思路的一個梳理
[00:39:06.700 --> 00:39:08.700]  這你們回家也可以訪談嘛對不對
[00:39:08.700 --> 00:39:10.700]  就是我們標準做波段
[00:39:10.700 --> 00:39:12.700]  板塊能夠走出Sinov
[00:39:12.700 --> 00:39:15.700]  如果我回到被教大家的方法了
