[00:00:00.000 --> 00:00:03.000]  大家學就應該學明白
[00:17:04.280 --> 00:17:06.280]  它代表著什麼意義呢
[00:17:06.280 --> 00:17:09.280]  統看成分歧
[00:17:09.280 --> 00:17:13.280]  統看成是分歧的態度
[00:17:13.280 --> 00:17:16.280]  這句話就比前面的重要
[00:17:16.280 --> 00:17:18.280]  就是前面只能佔10%
[00:17:18.280 --> 00:17:21.280]  這句話佔比90%
[00:17:22.280 --> 00:17:24.280]  剛才我讓你認識K線
[00:17:24.280 --> 00:17:28.280]  那麼現在告訴你這些K線
[00:17:28.280 --> 00:17:31.280]  回到籌嘛 是不是還有個籌啊
[00:17:31.280 --> 00:17:35.280]  是 籌 行 封 還記得嗎
[00:17:35.280 --> 00:17:38.280]  回到籌的角度來理解分歧
[00:17:38.280 --> 00:17:41.280]  分歧的意義
[00:17:41.280 --> 00:17:43.280]  它是代表著分歧
[00:17:43.280 --> 00:17:46.280]  那麼分歧大家都知道
[00:17:46.280 --> 00:17:48.280]  分歧是需要後期化解的
[00:17:48.280 --> 00:17:51.280]  化解的了言原來 化解不了被打倒
[00:17:51.280 --> 00:17:53.280]  就轉向了
[00:17:53.280 --> 00:17:56.280]  那些K線就代表著分歧的意義
[00:17:56.280 --> 00:18:05.280]  垂子線
[00:18:05.280 --> 00:18:08.280]  單根K線 流行線也是一樣的
[00:18:08.280 --> 00:18:10.280]  單根K線
[00:18:10.280 --> 00:18:14.280]  那麼還有一種K線
[00:18:14.280 --> 00:18:16.280]  就是我們說的小十字心
[00:18:16.280 --> 00:18:19.280]  3%以內的小陽線
[00:18:19.280 --> 00:18:22.280]  3%以內的小陰線
[00:18:22.280 --> 00:18:25.280]  通常我們它就沒有什麼特別的方向的選擇
[00:18:25.280 --> 00:18:27.280]  也可能跟在陽線之後
[00:18:27.280 --> 00:18:29.280]  也可能跟在陰線之後
[00:18:29.280 --> 00:18:34.280]  那麼這種K線基本上是一個修正停頓的籌的語言
[00:18:34.280 --> 00:18:37.280]  停頓的一個信號
[00:18:37.280 --> 00:18:43.280]  十字心 小陰線 小陽線是屬於停頓的一個信號
[00:18:43.280 --> 00:18:45.280]  (小陰線)
[00:18:45.280 --> 00:18:55.280]  這個
[00:18:55.280 --> 00:18:57.280]  我擦一下
[00:19:11.280 --> 00:19:13.280]  你都不知道我接下來講啥
[00:19:13.280 --> 00:19:24.280]  以前神量家他都知道我接下來講啥
[00:19:24.280 --> 00:19:26.280]  他現在不知道我講啥
[00:19:26.280 --> 00:19:32.280]  這個是重點是吧
[00:19:32.280 --> 00:19:34.280]  我剛才講的K線
[00:19:34.280 --> 00:19:36.280]  如何認識K線
[00:19:36.280 --> 00:19:37.280]  這叫什麼
[00:19:37.280 --> 00:19:38.280]  這是基本功
[00:19:38.280 --> 00:19:40.280]  認識K線你們我說的什麼
[00:19:40.280 --> 00:19:42.280]  陽線
[00:19:42.280 --> 00:19:44.280]  陰線
[00:19:44.280 --> 00:19:48.280]  然後一連串的K線是什麼K線
[00:19:48.280 --> 00:19:50.280]  分歧
[00:19:50.280 --> 00:19:57.280]  一連串的K線是分歧籌的語言
[00:19:57.280 --> 00:20:00.280]  那麼這個分歧裡面有什麼
[00:20:00.280 --> 00:20:02.280]  有仿學有畫
[00:20:02.280 --> 00:20:04.280]  有仿學
[00:20:04.280 --> 00:20:07.280]  實際我就不畫了不好意思
[00:20:07.280 --> 00:20:11.280]  還是要正規一點
[00:20:11.280 --> 00:20:19.280]  仿學
[00:20:19.280 --> 00:20:21.280]  高盪
[00:20:21.280 --> 00:20:27.280]  長下一線
[00:20:27.280 --> 00:20:32.280]  長上一線
[00:20:32.280 --> 00:20:36.280]  跳頂
[00:20:38.280 --> 00:20:40.280]  流星
[00:20:40.280 --> 00:20:43.280]  這些都是你看他們都有共同的特點是什麼
[00:20:43.280 --> 00:20:45.280]  都有隱線
[00:20:45.280 --> 00:20:46.280]  隱線都很長
[00:20:46.280 --> 00:20:48.280]  要麼有上的要麼有下的
[00:20:48.280 --> 00:20:50.280]  要麼沒有上的要麼沒有下的
[00:20:50.280 --> 00:20:51.280]  對吧
[00:20:51.280 --> 00:20:53.280]  區別就說有隱線
[00:20:53.280 --> 00:20:56.280]  我們剛才講的三次地方我們講的兩軍交戰作戰
[00:20:56.280 --> 00:20:58.280]  這個K線就代表什麼
[00:20:58.280 --> 00:21:01.280]  一天下來打敗你死我活的學語戰士
[00:21:01.280 --> 00:21:03.280]  是不是代表分歧
[00:21:03.280 --> 00:21:05.280]  所以我們講的是分歧
[00:21:05.280 --> 00:21:06.280]  認識就好
[00:21:06.280 --> 00:21:08.280]  不要把這段K線
[00:21:08.280 --> 00:21:10.280]  就是用K線說的角度去理解K線
[00:21:10.280 --> 00:21:12.280]  那你就太
[00:21:12.280 --> 00:21:14.280]  那個功力只在三層
[00:21:14.280 --> 00:21:17.280]  我們要站在八層的功力來理解K線
[00:21:17.280 --> 00:21:20.280]  還有一個講的是修復
[00:21:20.280 --> 00:21:22.280]  修復就是小陽線
[00:21:22.280 --> 00:21:23.280]  3%以內的
[00:21:23.280 --> 00:21:25.280]  這個我就得寫字了
[00:21:25.280 --> 00:21:27.280]  小陽
[00:21:27.280 --> 00:21:29.280]  小陰
[00:21:29.280 --> 00:21:31.280]  我講的是3%以內的
[00:21:31.280 --> 00:21:34.280]  因為你超過了3%你肯定就會有隱線分歧
[00:21:34.280 --> 00:21:35.280]  要不你就到了什麼
[00:21:35.280 --> 00:21:37.280]  到了我們所說的陽線了
[00:21:37.280 --> 00:21:38.280]  這個強弱了
[00:21:38.280 --> 00:21:41.280]  然後小十字星
[00:21:41.280 --> 00:21:42.280]  小十字星
[00:21:42.280 --> 00:21:44.280]  就是我們說的修復停頓
[00:21:44.280 --> 00:21:46.280]  修復停頓
[00:21:46.280 --> 00:21:48.280]  一樣這兩個
[00:21:48.280 --> 00:21:50.280]  它們代表了一個充滿意義
[00:21:50.280 --> 00:21:52.280]  然後在陽與陰裡面
[00:21:52.280 --> 00:21:54.280]  我們的一個語言
[00:21:54.280 --> 00:21:57.280]  陽我就叫進攻
[00:21:57.280 --> 00:21:59.280]  我說什麼
[00:21:59.280 --> 00:22:01.280]  強者勝勇者出
[00:22:01.280 --> 00:22:03.280]  強者勝勇者出
[00:22:03.280 --> 00:22:05.280]  裡面最重要的是你得往前攻
[00:22:05.280 --> 00:22:07.280]  就像我們在做的都是強者
[00:22:07.280 --> 00:22:09.280]  抓得住機會的人
[00:22:09.280 --> 00:22:11.280]  否則這個機會是不是一事完事
[00:22:11.280 --> 00:22:13.280]  反正我後面我不講了
[00:22:13.280 --> 00:22:15.280]  三天過後你想來你都知道了
[00:22:15.280 --> 00:22:17.280]  後面又沒人問我不好意思
[00:22:17.280 --> 00:22:19.280]  我現在也沒安排
[00:22:19.280 --> 00:22:20.280]  下次就是沒安排
[00:22:20.280 --> 00:22:21.280]  最少拿個錢再去問我
[00:22:21.280 --> 00:22:23.280]  我本來想說算了
[00:22:23.280 --> 00:22:25.280]  我不安排了
[00:22:25.280 --> 00:22:27.280]  說了之後我後來想
[00:22:27.280 --> 00:22:29.280]  反正也沒那麼多人說要學習了
[00:22:29.280 --> 00:22:30.280]  算了我不安排了
[00:22:30.280 --> 00:22:33.280]  那拖了一個多月
[00:22:33.280 --> 00:22:35.280]  那我在等你們說話
[00:22:35.280 --> 00:22:37.280]  知道了
[00:22:37.280 --> 00:22:39.280]  我在等你們說話
[00:22:39.280 --> 00:22:41.280]  有多少人想學習
[00:22:41.280 --> 00:22:43.280]  因為我面對的人很多
[00:22:43.280 --> 00:22:45.280]  你們直接對我一個
[00:22:45.280 --> 00:22:46.280]  是這樣吧
[00:22:46.280 --> 00:22:47.280]  沒有人告訴我
[00:22:47.280 --> 00:22:49.280]  想學習了
[00:22:49.280 --> 00:22:51.280]  大家看來可能
[00:22:51.280 --> 00:22:53.280]  誰都挺好的
[00:22:53.280 --> 00:22:55.280]  那我就又偷個兩倍
[00:22:55.280 --> 00:22:57.280]  偷個兩倍往後推一推
[00:22:57.280 --> 00:22:58.280]  上次清場大學我說了
[00:22:58.280 --> 00:23:00.280]  我說你說了我心裡想
[00:23:00.280 --> 00:23:02.280]  好像也沒幾個人跟我講學習了
[00:23:02.280 --> 00:23:03.280]  要不要組織呢
[00:23:03.280 --> 00:23:04.280]  然後其實說實話
[00:23:04.280 --> 00:23:06.280]  這次組織裡面得感謝黑大哥
[00:23:06.280 --> 00:23:07.280]  黑大哥不想站在這裡
[00:23:07.280 --> 00:23:08.280]  認識一下
[00:23:08.280 --> 00:23:10.280]  你們得感謝他
[00:23:10.280 --> 00:23:12.280]  為什麼呢
[00:23:12.280 --> 00:23:16.280]  他老人家錢先給我的
[00:23:16.280 --> 00:23:18.280]  我說我沒課
[00:23:18.280 --> 00:23:19.280]  老師反正我把錢先交給你
[00:23:19.280 --> 00:23:22.280]  你啥事安排啥事安排
[00:23:22.280 --> 00:23:23.280]  他把錢先給我了
[00:23:23.280 --> 00:23:26.280]  我就不得安排也得安排
[00:23:26.280 --> 00:23:28.280]  這次真的是這麼一個情況
[00:23:28.280 --> 00:23:30.280]  我說那就好吧安排吧
[00:23:30.280 --> 00:23:31.280]  老鄉一起聚一聚
[00:23:31.280 --> 00:23:33.280]  那就正好你來上個正式課
[00:23:33.280 --> 00:23:35.280]  然後我們就有了這樣一次聚會
[00:23:35.280 --> 00:23:37.280]  本來我還在偷
[00:23:37.280 --> 00:23:38.280]  是的
[00:23:38.280 --> 00:23:39.280]  所以真的怎麼說呢
[00:23:39.280 --> 00:23:41.280]  大家如果以後想復習了
[00:23:41.280 --> 00:23:42.280]  你們還是得告訴我
[00:23:42.280 --> 00:23:43.280]  像王田大哥
[00:23:43.280 --> 00:23:44.280]  還有那個什麼
[00:23:44.280 --> 00:23:46.280]  那個余霏姐就這樣子
[00:23:46.280 --> 00:23:47.280]  一看到我就要來
[00:23:47.280 --> 00:23:48.280]  搞到我現在就是
[00:23:48.280 --> 00:23:50.280]  不叫大家不好意思的這種
[00:23:50.280 --> 00:23:51.280]  真的
[00:23:51.280 --> 00:23:52.280]  見面也需要了
[00:23:52.280 --> 00:23:53.280]  不叫我就覺得不好意思了
[00:23:53.280 --> 00:23:55.280]  下次見面還好
[00:23:55.280 --> 00:23:57.280]  下次見小羅那個也是
[00:23:57.280 --> 00:23:59.280]  反正開課給人家告訴你
[00:23:59.280 --> 00:24:01.280]  就是這叫什麼呢
[00:24:01.280 --> 00:24:02.280]  這叫敢進攻
[00:24:02.280 --> 00:24:05.280]  你要把你的態度表明出來
[00:24:05.280 --> 00:24:06.280]  大家認度吧
[00:24:06.280 --> 00:24:07.280]  我們說回說
[00:24:07.280 --> 00:24:09.280]  各個方面其實很多時候
[00:24:09.280 --> 00:24:11.280]  你對古事的認知和感悟
[00:24:11.280 --> 00:24:14.280]  並不是完全取決於推薦讀
[00:24:14.280 --> 00:24:16.280]  而是取決於古事之外的
[00:24:16.280 --> 00:24:18.280]  很多一些事跡
[00:24:18.280 --> 00:24:21.280]  或者是你讀的書的一些
[00:24:21.280 --> 00:24:23.280]  就是讓我們用歷史的古蹟裡面
[00:24:23.280 --> 00:24:25.280]  歷史的一些這種書裡面
[00:24:25.280 --> 00:24:27.280]  給到你一些智慧
[00:24:27.280 --> 00:24:29.280]  讓你轉到我對市場的理解
[00:24:29.280 --> 00:24:30.280]  大家認度吧
[00:24:30.280 --> 00:24:33.280]  所以進攻的態度很重要
[00:24:33.280 --> 00:24:35.280]  那回到我們說
[00:24:35.280 --> 00:24:37.280]  K社為什麼我最重要的陽線
[00:24:37.280 --> 00:24:39.280]  我用的詞是進攻
[00:24:39.280 --> 00:24:40.280]  一個股票
[00:24:40.280 --> 00:24:42.280]  它都不敢去改變趨勢
[00:24:42.280 --> 00:24:43.280]  沒有進攻的態度
[00:24:43.280 --> 00:24:45.280]  這個股票是不可能好的
[00:24:45.280 --> 00:24:47.280]  一個股票
[00:24:47.280 --> 00:24:48.280]  不管你橫多久
[00:24:48.280 --> 00:24:50.280]  你連破局的勇氣都沒有
[00:24:50.280 --> 00:24:52.280]  是不可能走得好的
[00:24:52.280 --> 00:24:54.280]  大家能理解我意思沒有
[00:24:54.280 --> 00:24:56.280]  所以進攻我們是以陽線
[00:24:56.280 --> 00:24:59.280]  它最大的態度是陽線為體線
[00:24:59.280 --> 00:25:01.280]  我表象
[00:25:01.280 --> 00:25:04.280]  表象背後代表的是資金感往
[00:25:04.280 --> 00:25:05.280]  往這個方向
[00:25:05.280 --> 00:25:06.280]  往這個目標去
[00:25:06.280 --> 00:25:07.280]  往上上攻
[00:25:07.280 --> 00:25:08.280]  大家能理解我意思沒有
[00:25:08.280 --> 00:25:09.280]  那麼在上攻裡面
[00:25:09.280 --> 00:25:11.280]  我又給大家分享到了
[00:25:11.280 --> 00:25:13.280]  關於上陽線的什麼
[00:25:13.280 --> 00:25:16.280]  是不是講到的陽線的什麼
[00:25:16.280 --> 00:25:17.280]  強弱對不對
[00:25:17.280 --> 00:25:19.280]  最強的實體
[00:25:19.280 --> 00:25:22.280]  次強的再什麼再次強的
[00:25:22.280 --> 00:25:23.280]  再次強的我就不展開了
[00:25:23.280 --> 00:25:25.280]  反過來就是陰線
[00:25:25.280 --> 00:25:26.280]  那麼陰線的語言
[00:25:26.280 --> 00:25:27.280]  我用的是什麼
[00:25:27.280 --> 00:25:28.280]  叫破壞
[00:25:28.280 --> 00:25:31.280]  叫破壞
[00:25:31.280 --> 00:25:34.280]  就是說明你
[00:25:34.280 --> 00:25:35.280]  對吧
[00:25:35.280 --> 00:25:37.280]  把過去的你敢
[00:25:37.280 --> 00:25:39.280]  就是空頭破壞代表
[00:25:39.280 --> 00:25:40.280]  是不是籌碼的
[00:25:40.280 --> 00:25:41.280]  拋壓
[00:25:41.280 --> 00:25:42.280]  足夠
[00:25:42.280 --> 00:25:45.280]  並且是從早盤到尾盤
[00:25:45.280 --> 00:25:46.280]  形成一具新力氣
[00:25:46.280 --> 00:25:49.280]  才會收成破壞的陰線
[00:25:49.280 --> 00:25:50.280]  是不是這樣
[00:25:50.280 --> 00:25:53.280]  所以我們講陰線為破壞
[00:25:53.280 --> 00:25:55.280]  這就是我們說單根配線
[00:25:55.280 --> 00:25:57.280]  這就是單根配線
[00:25:57.280 --> 00:25:59.280]  那在這些單根配線裡面
[00:25:59.280 --> 00:26:00.280]  我想問大家的問題是什麼
[00:26:00.280 --> 00:26:03.280]  分歧它最終是需要什麼
[00:26:03.280 --> 00:26:05.280]  化解
[00:26:05.280 --> 00:26:07.280]  分歧化解不了
[00:26:07.280 --> 00:26:08.280]  對吧
[00:26:08.280 --> 00:26:09.280]  化解之後
[00:26:09.280 --> 00:26:10.280]  那麼化解之後
[00:26:10.280 --> 00:26:11.280]  是不是一個方向選擇
[00:26:11.280 --> 00:26:13.280]  化解之後是不是又回到這
[00:26:13.280 --> 00:26:15.280]  請問大家
[00:26:15.280 --> 00:26:18.280]  化解之後是不是又回到這兩個方向的選擇
[00:26:18.280 --> 00:26:21.280]  停頓是不是需要方向選擇的
[00:26:21.280 --> 00:26:23.280]  我停頓之後我總要破局的
[00:26:23.280 --> 00:26:24.280]  選擇對不對
[00:26:24.280 --> 00:26:26.280]  是不是又回到這
[00:26:26.280 --> 00:26:28.280]  來問大家是不是又回到這
[00:26:28.280 --> 00:26:29.280]  所以請問大家
[00:26:29.280 --> 00:26:30.280]  在整個配線裡面
[00:26:30.280 --> 00:26:32.280]  最重要的是什麼
[00:26:32.280 --> 00:26:34.280]  最重要的看的是什麼
[00:26:34.280 --> 00:26:37.280]  (聽不懂)
[00:26:37.280 --> 00:26:39.280]  是不是看的就是進攻陽
[00:26:39.280 --> 00:26:41.280]  和破壞陰之間的關係
[00:26:41.280 --> 00:26:43.280]  是不是最重要的看的是這裡
[00:26:43.280 --> 00:26:45.280]  就我們所講的
[00:26:45.280 --> 00:26:47.280]  我們最早14年的時候
[00:26:47.280 --> 00:26:49.280]  14年13年的時候
[00:26:49.280 --> 00:26:51.280]  一本這麼厚的蠟燭圖的書包
[00:26:51.280 --> 00:26:52.280]  我都看懵了
[00:26:52.280 --> 00:26:54.280]  我也沒看出啥價值
[00:26:54.280 --> 00:26:55.280]  對吧
[00:26:55.280 --> 00:26:57.280]  這些書本上絕對不會有的
[00:26:57.280 --> 00:26:58.280]  就我講的K線
[00:26:58.280 --> 00:27:00.280]  所以課見我也實在是沒把給大家過了
[00:27:00.280 --> 00:27:02.280]  我給大家分享的K線
[00:27:02.280 --> 00:27:03.280]  你在哪裡都學不到
[00:27:03.280 --> 00:27:04.280]  這就是我獨創
[00:27:04.280 --> 00:27:06.280]  不叫獨創
[00:27:06.280 --> 00:27:08.280]  獨開悟的
[00:27:08.280 --> 00:27:10.280]  獨真的是單獨
[00:27:10.280 --> 00:27:11.280]  我覺得這是每個人
[00:27:11.280 --> 00:27:13.280]  確實你自己看不到
[00:27:13.280 --> 00:27:14.280]  大家說是不是這樣子
[00:27:14.280 --> 00:27:16.280]  那麼所有的都要回到陽線和陰線
[00:27:16.280 --> 00:27:19.280]  那OK 又來了
[00:27:19.280 --> 00:27:21.280]  陽線和陰線是一個點
[00:27:21.280 --> 00:27:24.280]  又要跟什麼
[00:27:24.280 --> 00:27:27.280]  視來配合
[00:27:27.280 --> 00:27:29.280]  我上次有一次春筆課裡面講的
[00:27:29.280 --> 00:27:30.280]  這個點大家記得嗎
[00:27:30.280 --> 00:27:32.280]  一行轉前過大家記得嗎
[00:27:32.280 --> 00:27:33.280]  這裡不算系統特
[00:27:33.280 --> 00:27:35.280]  你就學一個點
[00:27:35.280 --> 00:27:36.280]  你感覺很好
[00:27:36.280 --> 00:27:38.280]  但你還是會差一點
[00:27:38.280 --> 00:27:39.280]  就像我這樣三天的下來
[00:27:39.280 --> 00:27:40.280]  所以我說
[00:27:40.280 --> 00:27:42.280]  我要教我第三天的課
[00:27:42.280 --> 00:27:43.280]  這種方式來學習
[00:27:43.280 --> 00:27:45.280]  因為點不管我怎麼講
[00:27:45.280 --> 00:27:46.280]  第一我講得透
[00:27:46.280 --> 00:27:48.280]  第二不可能講得明顯
[00:27:48.280 --> 00:27:50.280]  好我們再回到這個視
[00:27:50.280 --> 00:27:54.280]  這個視就回到了我們上次上課的這一條線
[00:27:54.280 --> 00:27:57.280]  這次上課的這一條線
[00:27:57.280 --> 00:28:06.280]  你們倆跟著我的思路來
[00:28:06.280 --> 00:28:08.280]  好又回到這裡呢
[00:28:10.280 --> 00:28:12.280]  是不是回到了這裡了
[00:28:12.280 --> 00:28:16.280]  K線是在視之下的陽線
[00:28:16.280 --> 00:28:19.280]  還是K線是尾巴上串式的陽線
[00:28:19.280 --> 00:28:21.280]  還是K線是將近上三分之一
[00:28:21.280 --> 00:28:23.280]  是上串式的陽線
[00:28:23.280 --> 00:28:25.280]  還是K線是一半的身體
[00:28:25.280 --> 00:28:28.280]  還是K線一開盤沒多久
[00:28:28.280 --> 00:28:31.280]  還是一開盤還是跳空
[00:28:31.280 --> 00:28:36.280]  是不是代表著K線與視的強弱的區別
[00:28:36.280 --> 00:28:38.280]  我說的近攻陽
[00:28:38.280 --> 00:28:41.280]  近攻的態度與視的這樣一個區別
[00:28:41.280 --> 00:28:44.280]  是不是這樣的
[00:28:44.280 --> 00:28:45.280]  是不是又回到了這裡了
[00:28:45.280 --> 00:28:47.280]  那我們接下來來看走勢圖了
[00:28:47.280 --> 00:28:50.280]  K線的基本功跟K線的強弱
[00:28:50.280 --> 00:28:52.280]  大家應該都能理解了
[00:28:52.280 --> 00:28:54.280]  我們來看圖的走勢
[00:28:54.280 --> 00:28:58.280]  好我們來看這個
[00:29:03.280 --> 00:29:06.280]  正
[00:29:06.280 --> 00:29:12.280]  現在數到數得清楚了吧
[00:29:12.280 --> 00:29:15.280]  這個灰色的是這個基本上是20
[00:29:15.280 --> 00:29:17.280]  它是30我現在調一下這邊
[00:29:17.280 --> 00:29:19.280]  清楚了
[00:29:19.280 --> 00:29:21.280]  來大家可以誰來幫我來數一下
[00:29:21.280 --> 00:29:23.280]  這個上漲
[00:29:23.280 --> 00:29:29.280]  不用拍他們
[00:29:29.280 --> 00:29:31.280]  看圖片沒感覺的
[00:29:31.280 --> 00:29:33.280]  你們回家自己重新再寫一遍才有感覺
[00:29:33.280 --> 00:29:36.280]  老方法笨方法是最有效果的
[00:29:36.280 --> 00:29:38.280]  可能是只針對我自己
[00:29:38.280 --> 00:29:40.280]  反正我是這樣子的
[00:29:40.280 --> 00:29:42.280]  圖片拍完永遠不看
[00:29:42.280 --> 00:29:44.280]  自己真正用功的時候就是什麼
[00:29:44.280 --> 00:29:46.280]  對著那個錄音
[00:29:46.280 --> 00:29:49.280]  邊寫邊聽邊寫邊聽
[00:29:49.280 --> 00:29:51.280]  一本書寫下來這種笨方法
[00:29:51.280 --> 00:29:53.280]  發現這個還是這個管理
[00:29:53.280 --> 00:29:55.280]  好我們來看一下
[00:29:55.280 --> 00:29:57.280]  誰來幫我來看一下這個
[00:29:57.280 --> 00:29:58.280]  這個什麼數一下
[00:29:58.280 --> 00:29:59.280]  剛才所講的知識點
[00:29:59.280 --> 00:30:01.280]  怎麼數都到3呢誰上來
[00:30:01.280 --> 00:30:03.280]  上來
[00:30:03.280 --> 00:30:04.280]  好你上來
[00:30:04.280 --> 00:30:06.280]  你看看勇者出呢
[00:30:06.280 --> 00:30:08.280]  你稍微猶豫一下下
[00:30:08.280 --> 00:30:10.280]  楊憲
[00:30:10.280 --> 00:30:11.280]  對
[00:30:11.280 --> 00:30:13.280]  就跟你沒機會了
[00:30:13.280 --> 00:30:15.280]  一浪上漲
[00:30:15.280 --> 00:30:16.280]  二浪回頭
[00:30:16.280 --> 00:30:17.280]  三浪
[00:30:17.280 --> 00:30:19.280]  還有嗎
[00:30:19.280 --> 00:30:21.280]  我應該認為是對的
[00:30:21.280 --> 00:30:23.280]  因為這裡
[00:30:23.280 --> 00:30:26.280]  那個是對的那個小周期是對的呀
[00:30:26.280 --> 00:30:28.280]  因為這個這邊是
[00:30:28.280 --> 00:30:29.280]  你看啊
[00:30:29.280 --> 00:30:31.280]  20均線沒有有效呀
[00:30:31.280 --> 00:30:32.280]  你看它就是
[00:30:32.280 --> 00:30:34.280]  那個不是20那是60
[00:30:34.280 --> 00:30:36.280]  那個深顏色的是60
[00:30:36.280 --> 00:30:37.280]  灰色的是30
[00:30:37.280 --> 00:30:39.280]  所以20還上了還在下面
[00:30:39.280 --> 00:30:41.280]  你看看這個一浪
[00:30:41.280 --> 00:30:42.280]  這個二浪回頭
[00:30:42.280 --> 00:30:43.280]  那大一浪
[00:30:43.280 --> 00:30:44.280]  大二浪
[00:30:44.280 --> 00:30:46.280]  然後這313233
[00:30:46.280 --> 00:30:48.280]  對不錯
[00:30:48.280 --> 00:30:51.280]  非常好
[00:30:51.280 --> 00:30:53.280]  所以我們首先來講呢
[00:30:53.280 --> 00:30:55.280]  我們在操作的部分是在這
[00:30:55.280 --> 00:30:57.280]  對不對是不是在這
[00:30:57.280 --> 00:30:59.280]  那我要回到細節點
[00:30:59.280 --> 00:31:01.280]  我剛才講K線了
[00:31:01.280 --> 00:31:03.280]  你在轉式的時候
[00:31:03.280 --> 00:31:04.280]  有沒有楊憲
[00:31:04.280 --> 00:31:05.280]  是不是進步的態度
[00:31:05.280 --> 00:31:07.280]  還是那種小碎步小步
[00:31:07.280 --> 00:31:09.280]  小步就像蝦蟒一樣爬的態度
[00:31:09.280 --> 00:31:12.280]  是不是代表著這個結構
[00:31:12.280 --> 00:31:14.280]  這個結構的語言啊
[00:31:14.280 --> 00:31:17.280]  你是小K線代表著就是很弱嘛
[00:31:17.280 --> 00:31:18.280]  對不對
[00:31:18.280 --> 00:31:19.280]  慢慢磨的嘛
[00:31:19.280 --> 00:31:21.280]  還是你直接進步楊的態度
[00:31:21.280 --> 00:31:22.280]  是跟轉式的
[00:31:22.280 --> 00:31:24.280]  大家能聽見我的意思嗎
[00:31:24.280 --> 00:31:25.280]  它對應的後面的上漲
[00:31:25.280 --> 00:31:27.280]  是不是有個逆期啊
[00:31:27.280 --> 00:31:29.280]  我們只能講有個逆期
[00:31:29.280 --> 00:31:30.280]  對不對
[00:31:30.280 --> 00:31:31.280]  就像我們說的
[00:31:31.280 --> 00:31:33.280]  米式一開始就是這種強的
[00:31:33.280 --> 00:31:34.280]  大家可以看到
[00:31:34.280 --> 00:31:35.280]  這是不是一個
[00:31:35.280 --> 00:31:36.280]  這是什麼K線
[00:31:36.280 --> 00:31:37.280]  進攻楊吧
[00:31:37.280 --> 00:31:40.280]  這是不是也是進攻中有點分歧的進攻楊啊
[00:31:40.280 --> 00:31:42.280]  楊憲身體比影憲大吧
[00:31:42.280 --> 00:31:44.280]  就是我說的楊憲的
[00:31:44.280 --> 00:31:46.280]  稍微弱化一點點的對不對
[00:31:46.280 --> 00:31:50.280]  它整個這一段是不是都已經把趨勢轉多了
[00:31:50.280 --> 00:31:51.280]  在進攻楊裡面來看
[00:31:51.280 --> 00:31:53.280]  這是不是我們說的有分歧
[00:31:53.280 --> 00:31:55.280]  分歧有沒有化解
[00:31:55.280 --> 00:31:57.280]  沒有化解繼續整理對不對
[00:31:57.280 --> 00:31:59.280]  這個位置就是小楊憲
[00:31:59.280 --> 00:32:00.280]  小楊憲
[00:32:00.280 --> 00:32:01.280]  是不是這樣子
[00:32:01.280 --> 00:32:03.280]  然後再回頭
[00:32:03.280 --> 00:32:04.280]  回頭的過程來看
[00:32:04.280 --> 00:32:05.280]  這是不是進攻楊
[00:32:05.280 --> 00:32:07.280]  進攻中帶點分歧的進攻楊
[00:32:07.280 --> 00:32:11.280]  這你看我們說K線並不是說這個K線就是滿
[00:32:11.280 --> 00:32:12.280]  那我們再來看一下
[00:32:12.280 --> 00:32:15.280]  這跟K線在與式的關係是怎麼樣
[00:32:15.280 --> 00:32:16.280]  我回到這個的
[00:32:16.280 --> 00:32:19.280]  剛才那個圖了
[00:32:19.280 --> 00:32:20.280]  好像沒反應
[00:32:20.280 --> 00:32:21.280]  對
[00:32:21.280 --> 00:32:24.280]  這個圖大家拍一下好不好
[00:32:24.280 --> 00:32:25.280]  拍一下我們對著講好不好
[00:32:25.280 --> 00:32:27.280]  自己手機上拍一下不可以打
[00:32:27.280 --> 00:32:29.280]  可以對著講一下
[00:32:29.280 --> 00:32:30.280]  這是我們來看一下
[00:32:30.280 --> 00:32:32.280]  1是弱的
[00:32:32.280 --> 00:32:34.280]  1就是連式都碰不到的
[00:32:34.280 --> 00:32:39.280]  我們這根線你可以把它直接想像的是10和20
[00:32:39.280 --> 00:32:41.280]  大家明白我意思沒有
[00:32:41.280 --> 00:32:44.280]  10和20 50和20可以想像
[00:32:44.280 --> 00:32:45.280]  也可以是5和10
[00:32:45.280 --> 00:32:47.280]  最次是5和10
[00:32:47.280 --> 00:32:49.280]  也可以是50 20 3跟合在一起的
[00:32:49.280 --> 00:32:51.280]  這根K線沒有5跟10都達不到的
[00:32:51.280 --> 00:32:53.280]  這就是一個老看你是楊線
[00:32:53.280 --> 00:32:55.280]  但你進攻
[00:32:55.280 --> 00:32:57.280]  是沒有辦法去變化的
[00:32:57.280 --> 00:32:58.280]  所以是很弱的
[00:32:58.280 --> 00:33:01.280]  出現這種楊線可能也還會反復改變不了
[00:33:01.280 --> 00:33:03.280]  就是改變不了延續性
[00:33:03.280 --> 00:33:05.280]  很難有延續性的就這個意思
[00:33:05.280 --> 00:33:06.280]  這個也一樣
[00:33:06.280 --> 00:33:07.280]  也沒有什麼延續性的
[00:33:07.280 --> 00:33:09.280]  因為你改變不了式
[00:33:09.280 --> 00:33:11.280]  沒有辦法把整個式給扭轉過來
