[00:00:00.000 --> 00:00:02.800]  你告诉我哪来的
[00:15:50.200 --> 00:15:52.200]  我们从节奏者的定义
[00:15:52.200 --> 00:15:54.200]  就变成了3-1
[00:15:54.200 --> 00:15:58.200]  但是你们有没有别的什么
[00:15:58.200 --> 00:16:00.200]  就是二它转空了
[00:16:00.200 --> 00:16:02.200]  那它还是二
[00:16:02.200 --> 00:16:04.200]  因为你一转多是真的转过了嘛
[00:16:04.200 --> 00:16:06.200]  你敢于把五合十带到二十的上方
[00:16:06.200 --> 00:16:08.200]  你是一个态度
[00:16:08.200 --> 00:16:10.200]  一的目的是转多
[00:16:10.200 --> 00:16:12.200]  但是转多之后我都不必说
[00:16:12.200 --> 00:16:14.200]  整个二的调整花了半年多的时间
[00:16:14.200 --> 00:16:16.200]  我扛不住半年的多头
[00:16:16.200 --> 00:16:18.200]  大部分我们说的
[00:16:18.200 --> 00:16:20.200]  一个月两个月的多头是能稳住的
[00:16:20.200 --> 00:16:22.200]  稳住大半年的多头其实还是有点难度的
[00:16:22.200 --> 00:16:24.200]  像现在这种市场环境怎么能动得如此快
[00:16:24.200 --> 00:16:26.200]  但是它没有创新低
[00:16:26.200 --> 00:16:28.200]  如果按正常你跌下去了
[00:16:28.200 --> 00:16:30.200]  你应该可能是接近创新低
[00:16:30.200 --> 00:16:32.200]  没有创新低说明我回调了
[00:16:32.200 --> 00:16:34.200]  三分之二或者三分之四分之三
[00:16:34.200 --> 00:16:36.200]  这是我的市能转空了
[00:16:36.200 --> 00:16:38.200]  这个时候就需要放上重新扭转
[00:16:38.200 --> 00:16:40.200]  那这个重新扭转
[00:16:40.200 --> 00:16:42.200]  我们就可以把定义为三到一
[00:16:42.200 --> 00:16:44.200]  这个重新扭转
[00:16:44.200 --> 00:16:46.200]  按照这个重新扭转
[00:16:46.200 --> 00:16:48.200]  是不是又有一个什么
[00:16:48.200 --> 00:16:50.200]  重新扭转回多头
[00:16:50.200 --> 00:16:52.200]  因为重新扭转回多头
[00:16:52.200 --> 00:16:54.200]  就有一个多头修正
[00:16:54.200 --> 00:16:56.200]  那么这个多头修正
[00:16:56.200 --> 00:16:58.200]  我们就三到二
[00:16:58.200 --> 00:17:00.200]  然后再次出现什么
[00:17:00.200 --> 00:17:02.200]  扭转拐点
[00:17:02.200 --> 00:17:04.200]  我们在预期
[00:17:04.200 --> 00:17:06.200]  走三到三的预期
[00:17:06.200 --> 00:17:08.200]  就这两种变化
[00:17:08.200 --> 00:17:10.200]  我们在数呢
[00:17:10.200 --> 00:17:12.200]  怎么去确定走三呢
[00:17:12.200 --> 00:17:14.200]  大家思考一下
[00:17:14.200 --> 00:17:16.200]  记录一下
[00:17:16.200 --> 00:17:18.200]  好好记一下
[00:17:18.200 --> 00:17:20.200]  一会儿直接在图博上看
[00:17:20.200 --> 00:17:22.200]  要拍的拍一下
[00:17:22.200 --> 00:17:24.200]  就是我从两种方向
[00:17:24.200 --> 00:17:26.200]  拍完之后就
[00:17:26.200 --> 00:17:28.200]  自己有时候可以看一看
[00:17:28.200 --> 00:17:30.200]  但是
[00:17:32.200 --> 00:17:34.200]  重点是要去理解透
[00:17:34.200 --> 00:17:36.200]  因为没那么难
[00:17:36.200 --> 00:17:38.200]  最重要是
[00:17:38.200 --> 00:17:40.200]  我答到这几句话
[00:17:40.200 --> 00:17:42.200]  可能就千斤了
[00:17:42.200 --> 00:17:44.200]  价值千斤了
[00:17:44.200 --> 00:17:46.200]  猜一个数是吧
[00:17:46.200 --> 00:17:48.200]  一般误不出来
[00:17:48.200 --> 00:17:50.200]  你搞不出来
[00:17:50.200 --> 00:17:52.200]  你数来数去数来数去
[00:17:52.200 --> 00:17:54.200]  我没有定量标准
[00:17:54.200 --> 00:17:56.200]  现在就是定量标准给到大家
[00:17:56.200 --> 00:17:58.200]  四
[00:17:58.200 --> 00:18:08.200]  四是什么
[00:18:08.200 --> 00:18:10.200]  四
[00:18:10.200 --> 00:18:12.200]  四是
[00:18:12.200 --> 00:18:14.200]  就是这个三的扭转之后
[00:18:14.200 --> 00:18:16.200]  再进行一个多头修正
[00:18:16.200 --> 00:18:20.200]  三的扭转之后
[00:18:20.200 --> 00:18:22.200]  我写字比较潦草
[00:18:22.200 --> 00:18:24.200]  我发现我写不公整
[00:18:24.200 --> 00:18:26.200]  这个写字可考验人心了
[00:18:26.200 --> 00:18:28.200]  写得很公整的时候
[00:18:28.200 --> 00:18:30.200]  那个情绪一定非常平稳
[00:18:30.200 --> 00:18:32.200]  五是
[00:18:32.200 --> 00:18:34.200]  就是扭转多方修正之后
[00:18:34.200 --> 00:18:36.200]  形成一个拐点
[00:18:36.200 --> 00:18:38.200]  出现这个拐点
[00:18:38.200 --> 00:18:40.200]  我们对三浪有一个
[00:18:40.200 --> 00:18:42.200]  三浪三浪的预期
[00:18:42.200 --> 00:18:44.200]  我们再讲一下
[00:18:44.200 --> 00:18:46.200]  因为我写得不清楚
[00:18:46.200 --> 00:18:48.200]  从我这里
[00:18:48.200 --> 00:18:50.200]  拐有个三浪三浪的预期
[00:18:50.200 --> 00:18:52.200]  我再讲一次
[00:18:52.200 --> 00:18:54.200]  第一个我们说到
[00:18:54.200 --> 00:18:56.200]  怎么样去确定走三浪
[00:18:56.200 --> 00:18:58.200]  是一个预期
[00:18:58.200 --> 00:19:00.200]  走三浪我们知道前面应该是有1和2
[00:19:00.200 --> 00:19:02.200]  对不对
[00:19:02.200 --> 00:19:04.200]  前面的底子只有两种
[00:19:04.200 --> 00:19:06.200]  一个就是1 2
[00:19:06.200 --> 00:19:08.200]  一个小边线的拐点
[00:19:08.200 --> 00:19:10.200]  直接走3 1 3 2 3 3
[00:19:10.200 --> 00:19:12.200]  走3的预期
[00:19:12.200 --> 00:19:14.200]  另外一个
[00:19:14.200 --> 00:19:16.200]  1 2 3 1 3 2
[00:19:16.200 --> 00:19:18.200]  远盘有没有其他的变化
[00:19:18.200 --> 00:19:20.200]  从这个节奏的推动的角度来讲
[00:19:20.200 --> 00:19:22.200]  没有说我AB
[00:19:22.200 --> 00:19:24.200]  我E E里面再来个1到10的
[00:19:24.200 --> 00:19:26.200]  没有吧
[00:19:26.200 --> 00:19:28.200]  是不是就只有这两种
[00:19:28.200 --> 00:19:30.200]  我们在先找不变的
[00:19:30.200 --> 00:19:32.200]  怎么定义不变的标准是什么
[00:19:32.200 --> 00:19:34.200]  是不是
[00:19:34.200 --> 00:19:36.200]  所以我们说走三浪的预期
[00:19:36.200 --> 00:19:38.200]  我们从结构的角度来讲
[00:19:38.200 --> 00:19:40.200]  结构不明白是在结构的基础上
[00:19:40.200 --> 00:19:42.200]  去学量价关系
[00:19:42.200 --> 00:19:44.200]  大家明白我意思没有
[00:19:44.200 --> 00:19:46.200]  量价关系是非常散的
[00:19:46.200 --> 00:19:48.200]  如果你没有吃干
[00:19:48.200 --> 00:19:50.200]  就非常糊涂的
[00:19:50.200 --> 00:19:52.200]  我们的量价关系是建立在这个
[00:19:52.200 --> 00:19:54.200]  DG结构是什么
[00:19:54.200 --> 00:19:56.200]  昨天讲的结构是不是那个毛
[00:19:56.200 --> 00:19:58.200]  是建立在这个毛的
[00:19:58.200 --> 00:20:00.200]  基础之上我来分析这个量价关系
[00:20:00.200 --> 00:20:02.200]  那你首先得把毛弄明白
[00:20:02.200 --> 00:20:04.200]  那昨天为什么一天的时间
[00:20:04.200 --> 00:20:06.200]  我都在帮他解决这个毛
[00:20:06.200 --> 00:20:08.200]  的式的问题和调整形态的问题
[00:20:08.200 --> 00:20:10.200]  那今天我为什么在讲
[00:20:10.200 --> 00:20:12.200]  量价关系之前我还在讲这个
[00:20:12.200 --> 00:20:14.200]  毛的问题大家理解我意思没有
[00:20:14.200 --> 00:20:16.200]  你的量价关系必须建立在
[00:20:16.200 --> 00:20:18.200]  这个毛的基础之上
[00:20:18.200 --> 00:20:20.200]  然后我们现在又调整了
[00:20:20.200 --> 00:20:22.200]  对吧我降维我把这个毛
[00:20:22.200 --> 00:20:24.200]  放在我要看中长期我这个月
[00:20:24.200 --> 00:20:26.200]  先看我中期就在
[00:20:26.200 --> 00:20:28.200]  周期上看我周期月先看不到
[00:20:28.200 --> 00:20:30.200]  我看到短期的热点里面
[00:20:30.200 --> 00:20:32.200]  我就在日期上去保定这种毛
[00:20:32.200 --> 00:20:34.200]  但是我们说的
[00:20:34.200 --> 00:20:36.200]  这个过完之后我们就这个毛
[00:20:36.200 --> 00:20:38.200]  里面的量价关系你要学会看
[00:20:38.200 --> 00:20:40.200]  你不要找做一个温温的股票
[00:20:40.200 --> 00:20:42.200]  越是弱的股票越是
[00:20:42.200 --> 00:20:44.200]  很难涨越是强的
[00:20:44.200 --> 00:20:46.200]  越是能持续上涨
[00:20:46.200 --> 00:20:48.200]  就像我们所说的强者横长
[00:20:48.200 --> 00:20:50.200]  当你阳性不敢买的你就是
[00:20:50.200 --> 00:20:52.200]  弱势所谓你的
[00:20:52.200 --> 00:20:54.200]  其实就叫你的
[00:20:54.200 --> 00:20:56.200]  股性里面
[00:20:56.200 --> 00:20:58.200]  就是你的个人的个性里面是偏
[00:20:58.200 --> 00:21:00.200]  保守的越过偏
[00:21:00.200 --> 00:21:02.200]  保守的人在股市里面
[00:21:02.200 --> 00:21:04.200]  其实是反而风险挺
[00:21:04.200 --> 00:21:06.200]  大的我们说的
[00:21:06.200 --> 00:21:08.200]  激进不是要你追高买
[00:21:08.200 --> 00:21:10.200]  是要你对这个走势的强
[00:21:10.200 --> 00:21:12.200]  弱有辨别力的这样一个性
[00:21:12.200 --> 00:21:14.200]  大家明白我意思没有
[00:21:14.200 --> 00:21:16.200]  但是你对于K线的强弱
[00:21:16.200 --> 00:21:18.200]  你是属于那种非常我就喜欢
[00:21:18.200 --> 00:21:20.200]  慢慢来慢慢来的那其实
[00:21:20.200 --> 00:21:22.200]  风险是蛮大的越是慢越是
[00:21:22.200 --> 00:21:24.200]  弱的反而可能在那什么
[00:21:24.200 --> 00:21:26.200]  会一定涨的好比如说人家
[00:21:26.200 --> 00:21:28.200]  能涨一个月你越是弱的可能
[00:21:28.200 --> 00:21:30.200]  就是一周一周半就结束了
[00:21:30.200 --> 00:21:34.200]  我们来说的就是一和二
[00:21:34.200 --> 00:21:36.200]  那么简单的就是一和二就是我们说的
[00:21:36.200 --> 00:21:38.200]  一直接是空转多
[00:21:38.200 --> 00:21:40.200]  转多的要求我们说过了
[00:21:40.200 --> 00:21:42.200]  五和十必须给我带到二十的上方
[00:21:42.200 --> 00:21:44.200]  然后二十
[00:21:44.200 --> 00:21:46.200]  能够在多方进行一个修正稳住
[00:21:46.200 --> 00:21:48.200]  我说的稳住五和十
[00:21:48.200 --> 00:21:50.200]  可不可以死差
[00:21:50.200 --> 00:21:52.200]  可以但是你的死差
[00:21:52.200 --> 00:21:54.200]  只要是在二十的上方
[00:21:54.200 --> 00:21:56.200]  就ok因为你死差
[00:21:56.200 --> 00:21:58.200]  在不你在修正的进行当中
[00:21:58.200 --> 00:22:00.200]  大家明白意思了
[00:22:00.200 --> 00:22:02.200]  可以死差的你死差
[00:22:02.200 --> 00:22:04.200]  在金差只要你保持在二十的上方
[00:22:04.200 --> 00:22:06.200]  只不过是你这个多么的调整
[00:22:06.200 --> 00:22:08.200]  你不死差你的调整形态更强
[00:22:08.200 --> 00:22:10.200]  你死差正比大一点
[00:22:10.200 --> 00:22:12.200]  你的正不大没有改变你的势
[00:22:12.200 --> 00:22:14.200]  大家明白我意思吗
[00:22:14.200 --> 00:22:16.200]  不是说不能死差的
[00:22:16.200 --> 00:22:18.200]  那么在这个过
[00:22:18.200 --> 00:22:20.200]  多方保持修正之后出现一个拐点
[00:22:20.200 --> 00:22:22.200]  推现拐点就是杨高英对不对
[00:22:22.200 --> 00:22:24.200]  那我们通过这个结构
[00:22:24.200 --> 00:22:26.200]  有三档的P7
[00:22:26.200 --> 00:22:28.200]  有三档的P7
[00:22:28.200 --> 00:22:30.200]  然后如果说二呢
[00:22:30.200 --> 00:22:32.200]  对吧就是我们说的
[00:22:32.200 --> 00:22:34.200]  空转多一之后二
[00:22:34.200 --> 00:22:36.200]  它转空了因为二呢
[00:22:36.200 --> 00:22:38.200]  就是都没有机会
[00:22:38.200 --> 00:22:40.200]  不出这个K线的拐点
[00:22:40.200 --> 00:22:42.200]  带动式的多头是不是没有操作的机会
[00:22:42.200 --> 00:22:44.200]  问大家
[00:22:44.200 --> 00:22:46.200]  我们二里面你不要特别说我一定要
[00:22:46.200 --> 00:22:48.200]  看到一个拐点
[00:22:48.200 --> 00:22:50.200]  我補充一点
[00:22:50.200 --> 00:22:52.200]  大周期
[00:22:52.200 --> 00:22:54.200]  多头保持
[00:22:54.200 --> 00:22:56.200]  比如说周线多头保持在整理
[00:22:56.200 --> 00:22:58.200]  日线出现一个
[00:22:58.200 --> 00:23:00.200]  很好的拐点就可以买
[00:23:00.200 --> 00:23:02.200]  你不要非得说大周期是保持多头的
[00:23:02.200 --> 00:23:04.200]  日线我还得磨到那个多头走好
[00:23:04.200 --> 00:23:06.200]  你再买你会少十几个点
[00:23:06.200 --> 00:23:08.200]  就会
[00:23:08.200 --> 00:23:10.200]  差距会差距十几个点
[00:23:10.200 --> 00:23:12.200]  就是比如说
[00:23:12.200 --> 00:23:14.200]  周线是周线的
[00:23:14.200 --> 00:23:16.200]  一对吧二在这里推现正道
[00:23:16.200 --> 00:23:18.200]  很漂亮对不对一直保持
[00:23:18.200 --> 00:23:20.200]  趋势多头的然后日线
[00:23:20.200 --> 00:23:22.200]  出现杨高英你就可以买
[00:23:22.200 --> 00:23:24.200]  因为有可能比如说周线正道的
[00:23:24.200 --> 00:23:26.200]  日线就变成了五合十是死差的
[00:23:26.200 --> 00:23:28.200]  然后五合十死差之后
[00:23:28.200 --> 00:23:30.200]  已经出现一个杨高英的买点
[00:23:30.200 --> 00:23:32.200]  但还没有占上完全是什么
[00:23:32.200 --> 00:23:34.200]  是带动走好我觉得我在犹豫
[00:23:34.200 --> 00:23:36.200]  你这种这些犹豫明天直接
[00:23:36.200 --> 00:23:38.200]  一根羊线带动走好
[00:23:38.200 --> 00:23:40.200]  甚至第三天再中这十几个点就没了
[00:23:40.200 --> 00:23:42.200]  你这种被动的
[00:23:42.200 --> 00:23:44.200]  但是明白我意思没有
[00:23:44.200 --> 00:23:46.200]  这个细节我们讲一下
[00:23:46.200 --> 00:23:48.200]  再回到二的转空
[00:23:48.200 --> 00:23:50.200]  二转空还有一个要求就是
[00:23:50.200 --> 00:23:52.200]  不能创新低
[00:23:52.200 --> 00:23:54.200]  反正我们知道二的条子
[00:23:54.200 --> 00:23:56.200]  就是条子形态要求缩放收屏的
[00:23:56.200 --> 00:23:58.200]  整体的一个条子放一个特征
[00:23:58.200 --> 00:24:00.200]  然后当不创新低
[00:24:00.200 --> 00:24:02.200]  之后还有一个要求
[00:24:02.200 --> 00:24:04.200]  因为你不创转空就是转空
[00:24:04.200 --> 00:24:06.200]  大家明白我意思没有
[00:24:06.200 --> 00:24:08.200]  你这个转空必须给我重新放量牛转拉回
[00:24:08.200 --> 00:24:10.200]  这个重新放量牛转拉回
[00:24:10.200 --> 00:24:12.200]  我们可以把它定性为3到1
[00:24:12.200 --> 00:24:14.200]  重新放量牛转拉回
[00:24:14.200 --> 00:24:16.200]  再多放进去就让我们说可以定为3到2
[00:24:16.200 --> 00:24:18.200]  那么再次形成管点走3到3
[00:24:18.200 --> 00:24:20.200]  也就是最终的就是
[00:24:20.200 --> 00:24:22.200]  前面是大一大一大二
[00:24:22.200 --> 00:24:24.200]  3132走33
[00:24:24.200 --> 00:24:26.200]  但是这样能不能就有意思没有
[00:24:26.200 --> 00:24:28.200]  这个这主体是123
[00:24:28.200 --> 00:24:30.200]  看股价的走势
[00:24:30.200 --> 00:24:38.200]  前段时间的那个小陈科技
[00:24:38.200 --> 00:24:44.200]  启动前是不是非常的清晰
[00:24:44.200 --> 00:24:46.200]  黄金板块一起上涨的时候
[00:24:46.200 --> 00:24:48.200]  是不是那一天所有的黄金板块都有上涨
[00:24:48.200 --> 00:24:50.200]  黄金板块上涨的时候
[00:24:50.200 --> 00:24:52.200]  你要去进行一个分析了
[00:24:52.200 --> 00:24:54.200]  到底有哪些个股是有结构
[00:24:54.200 --> 00:24:56.200]  有准备的
[00:24:56.200 --> 00:24:58.200]  有预期的对不对
[00:24:58.200 --> 00:25:00.200]  如果说这个板块起来
[00:25:00.200 --> 00:25:02.200]  你连有结构有准备有3到1期的股票都看不到
[00:25:02.200 --> 00:25:04.200]  那这种板块我们能参与吗
[00:25:04.200 --> 00:25:06.200]  就没有我们
[00:25:06.200 --> 00:25:08.200]  认知内的参与吧
[00:25:08.200 --> 00:25:10.200]  我也不能说不涨对吧
[00:25:10.200 --> 00:25:12.200]  就是达不到我们所说的
[00:25:12.200 --> 00:25:14.200]  认知内的预期的参与标准
[00:25:14.200 --> 00:25:16.200]  大家说是不是就像前几天的银行
[00:25:16.200 --> 00:25:18.200]  银行板块在上涨的时候
[00:25:18.200 --> 00:25:20.200]  像赵尚银行对吧
[00:25:20.200 --> 00:25:22.200]  包括那个中信银行是不是两个板
[00:25:22.200 --> 00:25:24.200]  最高从两个板所以开了
[00:25:24.200 --> 00:25:26.200]  包括那个就是工商银行包括其他的银行
[00:25:26.200 --> 00:25:28.200]  是不是也是符合我们要求
[00:25:28.200 --> 00:25:30.200]  符合它就会上涨
[00:25:30.200 --> 00:25:32.200]  那包括我们所看到的那个
[00:25:32.200 --> 00:25:34.200]  前几天那个家电
[00:25:34.200 --> 00:25:36.200]  就是房地产带动的
[00:25:36.200 --> 00:25:38.200]  那个装修建材里面
[00:25:38.200 --> 00:25:40.200]  拖宝包还是那个什么股票
[00:25:40.200 --> 00:25:42.200]  是不是有的有符合有的不符合
[00:25:42.200 --> 00:25:44.200]  大家能明白我的意思没有
[00:25:44.200 --> 00:25:46.200]  就是你一定要什么
[00:25:46.200 --> 00:25:48.200]  我说了个股只能做主升
[00:25:48.200 --> 00:25:50.200]  那就找出主升的
[00:25:50.200 --> 00:25:52.200]  符合条件否则你的分析逻辑
[00:25:52.200 --> 00:25:54.200]  是什么大家说是不是
[00:25:54.200 --> 00:25:56.200]  你没有分析逻辑
[00:25:56.200 --> 00:25:58.200]  你就没有应对方案
[00:25:58.200 --> 00:26:00.200]  说白了你必须有分析逻辑
[00:26:00.200 --> 00:26:02.200]  你才能很好的应对到它再认同吧
[00:26:02.200 --> 00:26:04.200]  那我教给大家的就是这种
[00:26:04.200 --> 00:26:06.200]  因为股价的上涨有很多种方式
[00:26:06.200 --> 00:26:08.200]  但不代表说
[00:26:08.200 --> 00:26:10.200]  我们所有的上涨都能抓得住
[00:26:10.200 --> 00:26:12.200]  我也是实话跟大家说
[00:26:12.200 --> 00:26:14.200]  不是所有的我们也都能抓得住
[00:26:14.200 --> 00:26:16.200]  但是按照这个方法去做
[00:26:16.200 --> 00:26:18.200]  我们很稳妥赚钱的概率
[00:26:18.200 --> 00:26:20.200]  89%90%以上
[00:26:20.200 --> 00:26:22.200]  但你不符合我只能告诉你
[00:26:22.200 --> 00:26:24.200]  90%可能是要亏了
[00:26:24.200 --> 00:26:26.200]  特别是时间长的
[00:26:26.200 --> 00:26:28.200]  应该更有感受
[00:26:28.200 --> 00:26:30.200]  不符合我教的这个模式大部分都很难赚钱
[00:26:30.200 --> 00:26:32.200]  你完全按照这个来做都OK
[00:26:32.200 --> 00:26:34.200]  咱们来看
[00:26:34.200 --> 00:26:36.200]  从结构上这是一个什么模型
[00:26:36.200 --> 00:26:38.200]  这是模型几
[00:26:38.200 --> 00:26:40.200]  3
[00:26:40.200 --> 00:26:42.200]  模型3对不对
[00:26:42.200 --> 00:26:44.200]  模型3很简单就是上涨之后
[00:26:44.200 --> 00:26:46.200]  再跟1/3顶端
[00:26:46.200 --> 00:26:48.200]  关键的密集成就上方
[00:26:48.200 --> 00:26:50.200]  进行一个整理对不对
[00:26:50.200 --> 00:26:52.200]  就是模型3
[00:26:52.200 --> 00:26:54.200]  然后模型3的话你来看一下它的1
[00:26:54.200 --> 00:26:56.200]  这个1的上涨有没有
[00:26:56.200 --> 00:26:58.200]  由空转多
[00:26:58.200 --> 00:27:00.200]  转多了对不对
[00:27:00.200 --> 00:27:02.200]  2一直保持什么样的状态
[00:27:02.200 --> 00:27:04.200]  是不是空方调整
[00:27:04.200 --> 00:27:06.200]  2是不是一直保持空方调整
[00:27:06.200 --> 00:27:08.200]  请问大家
[00:27:08.200 --> 00:27:10.200]  我刚才讲的2的要求不要多想
[00:27:10.200 --> 00:27:12.200]  我已经卡得很细很细很明确了
[00:27:12.200 --> 00:27:14.200]  2是不是要保持多方调整
[00:27:14.200 --> 00:27:16.200]  多方调整
[00:27:16.200 --> 00:27:18.200]  你看这是一个什么样的一个调整形态
[00:27:18.200 --> 00:27:20.200]  是不是平台形
[00:27:20.200 --> 00:27:22.200]  对吧
[00:27:22.200 --> 00:27:24.200]  穿头平台形
[00:27:24.200 --> 00:27:26.200]  A B C
[00:27:26.200 --> 00:27:28.200]  创新低的平台形
[00:27:28.200 --> 00:27:30.200]  锯齿的B反弹
[00:27:30.200 --> 00:27:32.200]  是达不到前高附近的
[00:27:32.200 --> 00:27:34.200]  是不是将近一个平台形
[00:27:34.200 --> 00:27:36.200]  反正大概知道有这个看看像个平台形
[00:27:36.200 --> 00:27:38.200]  像个去指形也没事
[00:27:38.200 --> 00:27:40.200]  那么最终它的关键节点
[00:27:40.200 --> 00:27:42.200]  在于哪里
[00:27:42.200 --> 00:27:44.200]  因为这根K线是不是在空头
[00:27:44.200 --> 00:27:46.200]  这根K线是什么
[00:27:46.200 --> 00:27:48.200]  是不是拐点
[00:27:48.200 --> 00:27:50.200]  这根K线是不是拐点
[00:27:50.200 --> 00:27:52.200]  它是不是突破了
[00:27:52.200 --> 00:27:54.200]  调整中的
[00:27:54.200 --> 00:27:56.200]  1 2 3 因为这个硬包扬
[00:27:56.200 --> 00:27:58.200]  我们就画紫点了
[00:27:58.200 --> 00:28:00.200]  是不是这根K线把这3根K线全部给修复
[00:28:00.200 --> 00:28:02.200]  给站上了
[00:28:02.200 --> 00:28:04.200]  同时是不是这根K线把5和10和20的
[00:28:04.200 --> 00:28:06.200]  4也转为什么
[00:28:06.200 --> 00:28:08.200]  多头了
[00:28:08.200 --> 00:28:10.200]  是不是价与4多头向上
[00:28:10.200 --> 00:28:12.200]  又有模型结构
[00:28:12.200 --> 00:28:14.200]  是不是将近30分钟级别的模型结构
[00:28:14.200 --> 00:28:16.200]  所以它对应后面
[00:28:16.200 --> 00:28:18.200]  应该是一个什么样的级别的3呢
[00:28:18.200 --> 00:28:20.200]  30分钟级别的一个3呢
[00:28:20.200 --> 00:28:22.200]  这个大家能理解了吧
[00:28:22.200 --> 00:28:24.200]  就是我们这样去看待
[00:28:24.200 --> 00:28:26.200]  好我们再来看一个第二种
[00:28:40.200 --> 00:28:42.200]  这是一个大级别的
[00:28:42.200 --> 00:28:44.200]  给大家看这个
[00:28:44.200 --> 00:28:46.200]  这个就是跟我刚才所在那一次分享的
[00:28:46.200 --> 00:28:48.200]  第二种
[00:28:48.200 --> 00:28:52.200]  来告诉我
[00:28:52.200 --> 00:28:54.200]  它的有限模式是在这
[00:28:54.200 --> 00:28:56.200]  还是在这
[00:28:56.200 --> 00:28:58.200]  还是在这
[00:28:58.200 --> 00:29:00.200]  首先你来思考一下这是一个什么模型
[00:29:00.200 --> 00:29:02.200]  模型几
[00:29:02.200 --> 00:29:04.200]  模型1对不对
[00:29:04.200 --> 00:29:06.200]  是不是我们所看到的这个模型
[00:29:06.200 --> 00:29:08.200]  你看小儿画的这个模型像不像
[00:29:10.200 --> 00:29:12.200]  这个像不像
[00:29:12.200 --> 00:29:14.200]  是不是很像像的
[00:29:14.200 --> 00:29:16.200]  那你来看一下
[00:29:16.200 --> 00:29:18.200]  首先这一段的上涨
[00:29:18.200 --> 00:29:20.200]  价格的上涨把符合趋势
[00:29:20.200 --> 00:29:22.200]  有没有扭转
[00:29:22.200 --> 00:29:24.200]  是不是放掉扭转
[00:29:24.200 --> 00:29:26.200]  随后它进行一个什么一个调整形态
[00:29:26.200 --> 00:29:28.200]  调整形态
[00:29:28.200 --> 00:29:30.200]  首先只有具持三角形和平台形
[00:29:30.200 --> 00:29:32.200]  所以符合我们
[00:29:32.200 --> 00:29:34.200]  的模型的
[00:29:34.200 --> 00:29:36.200]  趋势多头的要求
[00:29:36.200 --> 00:29:38.200]  调整形态你必须自己看得出来
[00:29:38.200 --> 00:29:40.200]  但是如果平台
[00:29:40.200 --> 00:29:42.200]  具持三角你看错了没事
[00:29:42.200 --> 00:29:44.200]  但是能不能说我数出1 2 3 4 5来
[00:29:44.200 --> 00:29:46.200]  不可以
[00:29:46.200 --> 00:29:48.200]  只能是ABC的三种结构中的其中
[00:29:48.200 --> 00:29:50.200]  一种
[00:29:50.200 --> 00:29:52.200]  那么它走出了一个具持形式
[00:29:52.200 --> 00:29:54.200]  我刚才所讲的
[00:29:54.200 --> 00:29:56.200]  这个调整你看缩量是不是缩
[00:29:56.200 --> 00:29:58.200]  放微缩
[00:29:58.200 --> 00:30:00.200]  再缩符合要求
[00:30:00.200 --> 00:30:02.200]  但是这个R是不是跟我刚才所讲的
[00:30:02.200 --> 00:30:04.200]  它转空了
[00:30:04.200 --> 00:30:06.200]  这里有没有操作要求我问大家
[00:30:06.200 --> 00:30:08.200]  没有
[00:30:08.200 --> 00:30:10.200]  然后在这里再次进行扭转的过程
[00:30:10.200 --> 00:30:12.200]  有没有扭转好
[00:30:12.200 --> 00:30:14.200]  这里你看这里再次转都是不是没有
[00:30:14.200 --> 00:30:16.200]  完全扭转好直到什么时候
[00:30:16.200 --> 00:30:18.200]  是不是这个
[00:30:18.200 --> 00:30:20.200]  阳现在被向上
[00:30:20.200 --> 00:30:22.200]  才真正的重新把
[00:30:22.200 --> 00:30:24.200]  5和10带到20的上方
[00:30:24.200 --> 00:30:26.200]  扭转好所以我们
[00:30:26.200 --> 00:30:28.200]  这叫什么从大结构来讲
[00:30:28.200 --> 00:30:30.200]  这是比如说在这个区别你看到
[00:30:30.200 --> 00:30:32.200]  这就是我们所说的
[00:30:32.200 --> 00:30:34.200]  这是1
[00:30:34.200 --> 00:30:36.200]  2
[00:30:36.200 --> 00:30:38.200]  然后这都属于2里面大家明白我意思吗
[00:30:38.200 --> 00:30:40.200]  只要你不能扭转成功的都在2里面
[00:30:40.200 --> 00:30:42.200]  因为我们昨天跟大家分享过了
[00:30:42.200 --> 00:30:44.200]  具持形调整的调整形态里面
[00:30:44.200 --> 00:30:48.200]  当它调的比较深
[00:30:48.200 --> 00:30:50.200]  需要在下面做一个什么
[00:30:50.200 --> 00:30:52.200]  底部形态或横盘
[00:30:52.200 --> 00:30:54.200]  横盘是不是底部形态的一个中间
[00:30:54.200 --> 00:30:56.200]  或者是做一个头肩底形态
[00:30:56.200 --> 00:30:58.200]  会做一个横盘记不记得
[00:30:58.200 --> 00:31:00.200]  但是你这个横盘
[00:31:00.200 --> 00:31:02.200]  你没有转多你还是属于
[00:31:02.200 --> 00:31:04.200]  调整形态末期的一个储备
[00:31:04.200 --> 00:31:06.200]  工作而已大家能理解我意思
[00:31:06.200 --> 00:31:08.200]  没有最终我们是不是要求
[00:31:08.200 --> 00:31:10.200]  对这个横盘形成突破
[00:31:10.200 --> 00:31:12.200]  才能确认呢
[00:31:12.200 --> 00:31:14.200]  那回到这里也是一样的
[00:31:14.200 --> 00:31:16.200]  你最终我们从市的角度来讲就是你
[00:31:16.200 --> 00:31:18.200]  这里虽然向上向下
[00:31:18.200 --> 00:31:20.200]  但你能达不到转多但你有没有创新低
[00:31:20.200 --> 00:31:22.200]  只要你不创新低
